number,density,sugercontent,label
1,0.697,0.460,1
2,0.774,0.376,1
3,0.634,0.264,1
4,0.608,0.318,1
5,0.556,0.215,1
6,0.403,0.237,1
7,0.481,0.149,1
8,0.437,0.211,1
9,0.666,0.091,1
10,0.243,0.267,2
11,0.245,0.057,2
12,0.343,0.099,2
13,0.639,0.161,2
14,0.657,0.198,2
15,0.360,0.370,2
16,0.593,0.042,2
17,0.719,0.103,2
18,0.359,0.188,2
19,0.339,0.241,2
20,0.282,0.257,2
21,0.748,0.232,2
22,0.714,0.346,1
23,0.483,0.312,1
24,0.478,0.437,1
25,0.525,0.369,1
26,0.751,0.489,1
27,0.532,0.472,1
28,0.473,0.376,1
29,0.725,0.445,1
30,0.446,0.459,1
